10,19,3,2
2,3,2,2
41,29,18,16
11,14,13,15
42,17,7,6
14,12,23,20
39,7,14,12
9,11,8,9
4,5,10,4
27,30,20,16
40,9,11,14
1,3,3,2
32,13,16,8
1,8,1,3
9,10,11,8
17,37,4,6
10,42,13,9
23,4,5,4
8,17,13,10
18,39,6,7
36,29,11,13
14,14,11,15
21,2,3,3
3,7,6,5
12,14,5,5
8,7,11,6
29,49,12,11
5,5,10,9
24,49,2,2
2,7,3,4
8,9,5,10
8,8,7,8
5,15,17,14
13,27,7,12
5,11,4,12
5,9,10,5
5,6,5,6
5,5,4,4
6,12,8,10
20,22,11,13
9,12,6,9
6,27,2,3
12,12,13,11
2,3,4,6
21,22,9,12
10,13,16,9
9,17,10,9
21,40,3,9
15,27,9,15
1,1,1,1
25,25,14,15
6,6,7,7
27,39,13,10
25,24,10,22
10,29,8,6
11,34,18,12
11,5,3,3
9,10,13,16
6,5,3,4
22,23,2,4
6,12,6,12
20,10,10,13
1,1,5,3
13,49,6,8
6,48,2,5
3,7,2,2
5,2,2,2
10,29,8,7
2,3,2,2
21,20,4,4
7,7,8,10
34,32,9,11
5,3,3,6
14,12,20,10
16,22,6,7
27,11,12,12
46,15,9,8
2,46,4,2
13,33,5,3
9,30,16,10
8,50,5,7
22,16,14,5
17,49,4,3
3,6,1,1
15,29,3,4
6,7,6,10
4,3,5,3
11,34,3,5
5,5,4,6
13,29,7,22
13,27,1,1
11,8,10,10
4,7,7,6
7,9,10,17
2,2,3,1
7,9,7,8
7,7,9,9
3,6,4,4
22,29,8,4
15,30,9,14
16,21,8,17
29,5,6,4
15,11,10,13
40,26,21,11
1,1,1,1
1,2,1,2
3,2,3,2
11,16,12,18
30,16,3,3
7,8,3,3
7,1,1,2
2,2,3,3
8,7,4,4
7,11,13,10
13,23,16,10
12,17,8,10
37,32,5,8
3,2,3,3
18,22,1,1
8,9,6,6
16,21,6,3
18,35,6,10
6,3,3,5
26,5,8,7
49,9,11,14
3,1,1,1
1,1,1,1
31,6,8,8
4,1,1,1
18,16,17,32
46,40,16,11
7,9,9,9
13,9,10,9
22,32,10,19
37,34,15,16
45,25,13,5
7,9,11,9
5,5,5,5
7,20,12,10
7,13,12,6
13,16,5,4
23,41,13,7
21,21,10,18
26,23,14,16
43,25,4,12
4,40,3,7
8,8,5,5
4,3,4,6
14,13,12,15
14,15,10,11
37,22,6,7
16,27,11,6
28,1,1,1
42,41,2,2
29,11,12,15
21,4,5,4
8,10,13,7
11,19,7,9
6,7,8,6
38,29,19,12
3,2,4,6
3,3,3,3
25,38,6,5
21,29,6,5
5,16,5,9
5,10,9,4
28,37,10,14
8,13,11,11
2,4,5,8
26,31,11,10
11,1,1,1
23,30,7,6
37,2,2,1
21,15,12,16
6,33,5,3
18,15,5,6
9,7,15,7
6,5,4,8
3,19,3,2
3,30,3,5
19,13,13,2
34,35,5,6
11,6,8,5
16,50,10,14
17,14,2,4
